"MemberID","Gender","Visit_Last1Month","Visit_Last2Month","Visit_Last3Month","Spending_Last1Month","Spending_Last2Month","Spending_Last3Month","Age","Monthly_Income","Marital_Status","Payment_Channel","Buy_Groceries","Buy_Toiletries","Buy_Food","Buy_Electronic","Buy_Clothes","Buy_HomeAppliances","Last_Visit","y"
"ID237398",1,4,6,6,207164,170482,157592,25,3172700,1,0,1,1,1,0,0,1,27,0
"ID502009",1,6,6,2,792577,821678,859218,32,4141600,1,0,0,1,0,0,0,1,5,0
"ID011841",1,3,3,2,1019203,1058981,1036460,24,5292900,0,2,0,1,1,1,0,1,3,0
"ID645389",1,3,2,1,260765,281803,276175,28,2606600,0,1,0,0,1,0,0,0,27,0
"ID225416",1,3,4,3,956641,899804,814255,27,4520100,0,2,0,1,1,0,0,1,1,0
"ID909605",1,3,2,4,454295,415457,413672,24,7301300,1,2,0,1,1,0,1,0,2,1
"ID052795",1,0,0,1,0,0,447018,31,5302000,1,0,1,1,1,0,0,0,37,0
"ID536887",0,1,2,2,577327,534312,470981,32,9366900,1,0,0,1,1,0,0,0,19,1
"ID609899",1,7,4,3,661529,651732,652627,30,13895200,1,2,0,0,1,0,0,0,11,1
"ID599263",1,2,1,0,461273,485364,0,27,9550000,1,0,0,0,0,0,0,0,8,0
"ID394378",1,6,5,4,570724,570862,495474,27,6132800,1,0,0,0,1,0,0,0,28,1
"ID440873",1,5,2,6,198611,203043,195667,36,5959400,1,2,0,1,1,0,0,0,16,0
"ID311224",1,7,9,7,604219,654103,615189,28,3062700,1,1,0,0,1,0,0,1,4,1
"ID534320",0,3,3,4,237511,270097,279177,43,3661200,1,0,0,1,1,0,0,1,15,1
"ID622228",1,4,5,2,305992,330652,335845,32,5961800,1,1,1,1,1,0,0,0,14,0
"ID813652",1,1,1,1,505503,505677,594101,22,6753500,0,0,0,1,1,0,0,0,3,0
"ID302442",0,1,1,5,306538,314632,294242,33,3217300,1,2,0,0,1,0,0,0,28,0
"ID566543",1,3,2,4,549395,531798,447470,29,2395800,0,2,0,1,1,0,0,0,29,1
"ID172166",1,5,5,1,578749,558831,576726,38,4459100,1,0,0,1,1,0,0,1,21,1
"ID437415",1,3,4,6,299722,301667,281176,37,5226500,1,1,0,1,1,0,0,0,25,0
"ID569305",1,4,3,0,510433,610902,0,23,4455800,0,1,0,0,1,0,0,0,11,0
"ID011937",1,1,1,4,396000,472502,506685,30,6354300,1,0,0,1,1,0,0,0,28,1
"ID193893",0,0,2,6,0,221906,234459,25,5463700,1,0,0,1,1,0,0,0,50,0
"ID312080",0,1,3,6,219443,218097,243365,30,7844700,0,1,1,0,1,0,1,1,15,1
"ID745951",0,3,4,1,442846,416872,434817,29,3914300,1,2,1,1,1,1,0,0,21,1
"ID297110",1,1,0,6,205317,0,173018,23,2293600,0,2,0,1,1,0,0,0,21,0
"ID381337",1,5,6,8,382334,371853,416562,30,3912500,1,2,0,1,1,0,0,1,15,1
"ID910638",1,4,7,6,205285,199722,188318,25,5315100,1,2,1,1,1,0,1,0,1,0
"ID651934",0,2,3,4,381904,459764,490709,32,3615000,0,1,0,1,1,0,0,0,27,1
"ID602919",0,5,7,10,524046,566724,439175,26,3486900,1,1,0,1,1,0,0,1,2,1
"ID868643",1,3,2,4,311973,303367,294223,30,3867800,0,1,0,1,0,0,0,0,2,0
"ID240581",1,0,1,2,0,360837,250574,31,3196000,1,0,0,1,1,0,0,1,44,0
"ID419373",0,5,4,4,331610,344562,311552,30,7618000,1,0,0,1,1,0,0,1,13,1
"ID004283",0,3,4,5,807747,716825,738984,39,5575700,1,1,0,0,1,0,0,1,17,0
"ID025322",1,3,2,2,100583,122666,136175,29,8794400,0,1,0,1,1,0,0,0,9,0
"ID063379",0,1,2,3,825638,915265,1114880,33,2094400,1,1,0,0,1,0,0,0,15,0
"ID506886",1,6,6,5,314825,285327,225845,27,4854600,1,1,0,0,1,0,0,0,12,0
"ID668414",1,4,4,3,478114,451256,530215,34,3831900,0,1,0,1,1,0,0,0,15,1
"ID548252",0,1,2,3,609402,537572,555860,36,10268400,1,2,0,0,0,0,1,0,19,1
"ID801312",0,3,3,5,458474,455739,438184,27,6747900,1,0,1,0,1,0,0,1,17,1
"ID098720",1,4,6,3,305078,352822,377366,24,7923700,0,2,0,1,1,1,1,0,19,1
"ID402843",1,2,1,1,369309,448044,472574,24,4994800,1,1,0,0,1,0,0,0,7,1
"ID092144",0,4,5,3,203703,229067,263378,32,12273900,1,1,0,1,1,0,0,0,3,0
"ID210882",0,4,3,2,413505,374777,390286,29,2925800,1,0,0,1,1,0,0,0,4,1
"ID170677",1,3,1,2,231777,219179,211994,32,7120300,1,0,1,1,1,0,0,0,17,1
"ID307662",1,2,4,5,566976,599227,558691,32,5345500,1,1,0,1,0,0,0,1,15,1
"ID529282",1,1,3,2,597769,636269,692502,28,2361600,0,0,0,1,1,0,0,0,2,1
"ID464586",0,2,3,5,604562,681159,669833,32,1999700,1,2,1,1,1,0,0,0,8,0
"ID472452",0,2,3,6,339892,277691,307889,26,1390500,1,1,1,1,1,0,0,1,27,1
"ID427700",1,4,1,1,400968,382408,399663,35,18517900,1,2,0,1,1,0,0,1,25,1
"ID250260",0,2,4,2,444816,428477,437914,23,2409300,0,1,0,1,0,0,0,0,29,1
"ID701292",0,2,0,3,325621,0,302983,34,3318100,1,2,0,1,1,0,0,0,28,0
"ID735653",1,3,6,2,439893,495982,490526,28,2045800,0,0,1,0,1,0,0,1,7,1
"ID214432",0,2,2,2,438509,359567,336800,31,4002300,0,0,0,1,1,0,0,0,18,1
"ID625745",0,6,4,5,199931,208892,225360,21,6429300,1,1,0,1,1,0,0,0,7,0
"ID262983",1,4,3,1,349821,317145,321597,29,3496900,1,1,1,1,0,0,1,0,25,0
"ID301190",0,1,5,7,485729,446465,409925,27,5158900,1,1,1,1,0,0,0,0,27,1
"ID171779",1,3,4,0,233262,223161,0,35,3385700,1,0,0,0,1,0,0,0,12,0
"ID199515",1,2,7,2,423136,436950,433497,33,5297100,1,2,0,0,1,0,0,0,17,1
"ID404038",1,5,1,2,304226,300824,271461,26,3584400,1,2,0,1,1,0,0,0,4,0
"ID928136",1,6,6,2,305615,273318,272536,25,4345200,1,2,0,1,1,0,0,0,3,0
"ID661704",0,1,2,3,663261,723626,762011,24,7530500,1,2,0,1,1,0,0,0,16,0
"ID514375",0,2,3,1,477144,451870,473898,38,9310500,0,1,0,1,1,0,0,0,18,1
