nasabah,tunaiATM,nontunaiATM,internet,debitbelanja,usia17_25,usia26_55,usia56,saldoharian,jeniskelamin
1,11,1,0,0,1,0,0,0.624255591,1
2,10,2,2,3,0,0,1,0.513467916,0
3,8,1,0,0,1,0,0,0.382771215,1
4,7,2,1,1,1,0,0,0.590554672,1
5,8,2,1,1,1,0,0,0.647639506,1
6,9,0,0,0,0,0,1,0.778698306,1
7,7,0,1,2,1,0,0,0.766893695,0
8,8,0,1,8,0,1,0,1.185462435,0
9,11,0,0,3,1,0,0,0.410150028,1
10,10,4,3,12,0,1,0,1.022964116,0
11,9,1,1,9,0,1,0,0.573442992,0
12,2,1,2,11,0,1,0,3.999912843,0
13,8,1,3,1,1,0,0,0.817764258,1
14,8,0,1,0,0,0,1,0.738761913,1
15,2,5,1,10,1,0,0,5.369559082,0
16,9,0,1,0,0,0,1,0.306296387,0
17,1,2,0,11,0,1,0,4.818142654,0
18,7,0,1,8,0,0,1,0.854280941,0
19,7,2,0,1,0,0,1,0.649210194,0
20,11,0,0,1,0,0,1,0.406109515,1
21,10,0,1,2,1,0,0,0.422261834,0
22,13,3,2,1,0,1,0,0.877623616,1
23,12,1,4,0,1,0,0,0.395198345,0
24,10,1,1,8,0,0,1,1.40419083,0
25,11,1,4,8,0,1,0,1.051434788,1
26,9,1,1,1,0,0,1,0.562333446,1
27,9,0,1,8,0,0,1,1.900790587,0
28,11,2,0,0,0,0,1,0.8276502,1
29,1,3,0,11,0,1,0,3.353264438,1
30,6,3,0,9,1,0,0,1.299616614,1
31,10,0,2,11,0,1,0,0.706067081,0
32,9,0,0,1,1,0,0,0.340114407,1
33,11,0,1,11,0,1,0,1.547934327,0
34,3,2,1,11,0,1,0,3.443775218,0
35,8,1,2,11,0,1,0,0.812553539,0
36,8,1,1,8,0,1,0,1.253664407,0
37,8,2,0,9,0,1,0,4.528837758,0
38,11,0,1,8,0,1,0,0.541546726,0
39,11,0,1,1,1,0,0,0.713078053,0
40,9,3,0,0,0,0,1,0.869640271,1
41,11,4,1,10,0,1,0,1.535092746,0
42,11,0,1,11,0,1,0,1.549293218,0
43,9,0,1,1,1,0,0,0.316992131,1
44,11,1,1,8,0,1,0,1.818982274,1
45,5,3,5,11,0,0,1,4.454281628,1
46,4,3,0,12,0,1,0,5.49890192,0
47,7,0,2,1,0,0,1,0.574614893,0
48,8,0,2,1,0,0,1,0.413613166,0
49,4,5,0,8,0,1,0,5.467852302,1
50,2,5,0,12,0,1,0,3.352772404,0
51,1,2,10,2,0,1,0,23.79222759,0
52,1,4,3,3,0,1,0,14.42021038,0
53,2,1,0,10,0,1,0,5.22398189,0
54,2,4,1,10,1,0,0,5.238679339,0
55,7,2,2,9,0,1,0,1.273463093,1
56,1,5,6,3,0,1,0,22.8937525,1
